ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike
17509,M,F,40000,1,Bachelors,Clerical,Yes,1,2-5 Miles,North America,47,No
26854,S,M,70000,0,Bachelors,Professional,No,2,10+ Miles,Pacific,36,Yes
19205,M,M,50000,3,Partial College,Skilled Manual,Yes,1,0-1 Miles,North America,44,No
15837,S,F,60000,0,Bachelors,Professional,Yes,1,1-2 Miles,Pacific,34,Yes
28439,M,M,80000,2,Bachelors,Management,Yes,2,2-5 Miles,North America,51,Yes
12678,S,F,90000,0,Graduate Degree,Professional,Yes,3,0-1 Miles,Pacific,28,Yes
21094,M,M,30000,4,High School,Manual,Yes,1,0-1 Miles,North America,55,No
13589,S,M,100000,0,Graduate Degree,Management,Yes,4,5-10 Miles,Pacific,34,Yes
25741,M,F,40000,2,Partial College,Clerical,No,0,10+ Miles,Pacific,48,No
16320,S,M,70000,0,Bachelors,Professional,Yes,2,1-2 Miles,North America,35,Yes
19874,M,F,50000,1,Bachelors,Skilled Manual,Yes,1,2-5 Miles,Pacific,45,No
28105,S,M,60000,0,Partial College,Professional,Yes,1,10+ Miles,Pacific,33,Yes
11753,M,M,80000,3,Bachelors,Professional,Yes,2,0-1 Miles,North America,49,Yes
24385,S,F,90000,0,Bachelors,Professional,Yes,3,5-10 Miles,Pacific,31,Yes
17041,M,M,30000,2,Partial High School,Skilled Manual,Yes,1,1-2 Miles,Pacific,56,No
20864,S,M,70000,0,Bachelors,Professional,No,2,10+ Miles,North America,38,Yes
13895,M,F,40000,4,High School,Clerical,Yes,0,0-1 Miles,Pacific,50,No
26213,S,M,60000,0,Partial College,Professional,Yes,1,2-5 Miles,Pacific,36,Yes
19582,M,M,100000,1,Graduate Degree,Management,Yes,4,1-2 Miles,North America,47,Yes
15196,S,F,50000,0,Bachelors,Clerical,Yes,1,5-10 Miles,Pacific,32,No
28674,M,M,80000,2,Bachelors,Professional,Yes,2,0-1 Miles,North America,52,Yes
12057,S,F,70000,0,Bachelors,Professional,Yes,2,10+ Miles,Pacific,34,Yes
21436,M,M,30000,3,Partial High School,Manual,No,1,0-1 Miles,Pacific,57,No
14728,S,M,90000,0,Graduate Degree,Professional,Yes,3,2-5 Miles,Pacific,29,Yes
25912,M,F,40000,1,Bachelors,Clerical,Yes,1,1-2 Miles,North America,46,No
18364,S,M,60000,0,Partial College,Professional,Yes,1,10+ Miles,Pacific,35,Yes
23095,M,F,50000,2,High School,Skilled Manual,Yes,1,5-10 Miles,North America,43,No
16581,S,M,80000,0,Bachelors,Professional,No,2,0-1 Miles,Pacific,37,Yes
29320,M,M,70000,4,Partial College,Professional,Yes,2,2-5 Miles,North America,54,Yes
11694,S,F,60000,0,Bachelors,Professional,Yes,1,10+ Miles,Pacific,33,Yes
24157,M,M,90000,2,Bachelors,Management,Yes,3,1-2 Miles,Pacific,51,Yes
17938,S,F,30000,0,Partial High School,Clerical,Yes,1,0-1 Miles,North America,48,No
20514,M,M,100000,1,Graduate Degree,Professional,Yes,4,5-10 Miles,Pacific,35,Yes
13476,S,F,40000,3,High School,Clerical,No,0,10+ Miles,Pacific,49,No
26789,M,M,70000,0,Bachelors,Professional,Yes,2,2-5 Miles,North America,39,Yes
19240,S,F,50000,0,Partial College,Skilled Manual,Yes,1,1-2 Miles,Pacific,34,No
15623,M,M,60000,2,Bachelors,Professional,Yes,1,10+ Miles,North America,45,Yes
28491,S,F,80000,0,Bachelors,Professional,Yes,2,0-1 Miles,Pacific,30,Yes
12289,M,M,90000,1,Graduate Degree,Management,Yes,3,5-10 Miles,Pacific,48,Yes

